nameWithOwner,createdAt,primaryLanguage,updatedAt
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,{'name': 'TypeScript'},2025-03-14T17:34:18Z
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,{'name': 'Markdown'},2025-03-14T17:34:16Z
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,{'name': 'HTML'},2025-03-14T17:25:03Z
sindresorhus/awesome,2014-07-11T13:42:37Z,,2025-03-14T17:21:17Z
public-apis/public-apis,2016-03-20T23:49:42Z,{'name': 'Python'},2025-03-14T17:35:27Z
jwasham/coding-interview-university,2016-06-06T02:34:12Z,,2025-03-14T17:22:25Z
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,{'name': 'TypeScript'},2025-03-14T17:10:41Z
donnemartin/system-design-primer,2017-02-26T16:15:28Z,{'name': 'Python'},2025-03-14T17:20:40Z
996icu/996.ICU,2019-03-26T07:31:14Z,,2025-03-14T15:19:30Z
vinta/awesome-python,2014-06-27T21:00:06Z,{'name': 'Python'},2025-03-14T17:20:48Z
facebook/react,2013-05-24T16:15:54Z,{'name': 'JavaScript'},2025-03-14T17:20:26Z
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,,2025-03-14T17:34:31Z
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,,2025-03-14T17:30:02Z
vuejs/vue,2013-07-29T03:24:51Z,{'name': 'TypeScript'},2025-03-14T17:30:28Z
TheAlgorithms/Python,2016-07-16T09:44:01Z,{'name': 'Python'},2025-03-14T17:06:16Z
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,{'name': 'JavaScript'},2025-03-14T17:23:44Z
torvalds/linux,2011-09-04T22:48:12Z,{'name': 'C'},2025-03-14T16:50:48Z
tensorflow/tensorflow,2015-11-07T01:19:20Z,{'name': 'C++'},2025-03-14T17:30:40Z
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,,2025-03-14T16:03:02Z
CyC2018/CS-Notes,2018-02-13T14:56:24Z,,2025-03-14T16:54:06Z
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,{'name': 'Shell'},2025-03-14T17:11:55Z
ossu/computer-science,2014-05-04T00:18:39Z,,2025-03-14T17:21:40Z
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,{'name': 'Python'},2025-03-14T17:19:22Z
twbs/bootstrap,2011-07-29T21:19:00Z,{'name': 'JavaScript'},2025-03-14T16:41:58Z
flutter/flutter,2015-03-06T22:54:58Z,{'name': 'Dart'},2025-03-14T17:35:52Z
microsoft/vscode,2015-09-03T20:23:38Z,{'name': 'TypeScript'},2025-03-14T17:27:13Z
github/gitignore,2010-11-08T20:17:14Z,,2025-03-14T17:19:20Z
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,{'name': 'Jupyter Notebook'},2025-03-14T16:57:25Z
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,,2025-03-14T17:30:04Z
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,,2025-03-14T17:34:54Z
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,{'name': 'Python'},2025-03-14T17:27:01Z
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,{'name': 'Java'},2025-03-14T14:09:08Z
airbnb/javascript,2012-11-01T23:13:50Z,{'name': 'JavaScript'},2025-03-14T15:25:37Z
huggingface/transformers,2018-10-29T13:56:00Z,{'name': 'Python'},2025-03-14T16:50:26Z
avelino/awesome-go,2014-07-06T13:42:15Z,{'name': 'Go'},2025-03-14T17:21:38Z
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,{'name': 'Python'},2025-03-14T17:03:46Z
ollama/ollama,2023-06-26T19:39:32Z,{'name': 'Go'},2025-03-14T17:24:17Z
vercel/next.js,2016-10-05T23:32:51Z,{'name': 'JavaScript'},2025-03-14T17:35:26Z
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,{'name': 'Markdown'},2025-03-14T17:25:00Z
golang/go,2014-08-19T04:33:40Z,{'name': 'Go'},2025-03-14T17:06:29Z
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,{'name': 'Batchfile'},2025-03-14T17:35:59Z
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,{'name': 'JavaScript'},2025-03-14T16:44:26Z
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,{'name': 'TypeScript'},2025-03-14T17:24:00Z
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,{'name': 'HTML'},2025-03-14T17:05:40Z
facebook/react-native,2015-01-09T18:10:16Z,{'name': 'C++'},2025-03-14T16:23:37Z
Genymobile/scrcpy,2017-11-21T18:00:27Z,{'name': 'C'},2025-03-14T17:34:59Z
microsoft/PowerToys,2019-05-01T17:44:02Z,{'name': 'C#'},2025-03-14T16:53:01Z
electron/electron,2013-04-12T01:47:36Z,{'name': 'C++'},2025-03-14T17:01:15Z
kubernetes/kubernetes,2014-06-06T22:56:04Z,{'name': 'Go'},2025-03-14T17:36:05Z
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,,2025-03-14T16:58:24Z
nodejs/node,2014-11-26T19:57:11Z,{'name': 'JavaScript'},2025-03-14T17:35:24Z
krahets/hello-algo,2022-11-04T11:08:34Z,{'name': 'Java'},2025-03-14T17:11:04Z
d3/d3,2010-09-27T17:22:42Z,{'name': 'Shell'},2025-03-14T17:32:24Z
axios/axios,2014-08-18T22:30:27Z,{'name': 'JavaScript'},2025-03-14T16:45:11Z
mrdoob/three.js,2010-03-23T18:58:01Z,{'name': 'JavaScript'},2025-03-14T16:09:19Z
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,{'name': 'Python'},2025-03-14T17:31:00Z
langchain-ai/langchain,2022-10-17T02:58:36Z,{'name': 'Jupyter Notebook'},2025-03-14T17:35:48Z
microsoft/TypeScript,2014-06-17T15:28:39Z,{'name': 'TypeScript'},2025-03-14T17:36:31Z
facebook/create-react-app,2016-07-17T14:55:11Z,{'name': 'JavaScript'},2025-03-14T17:25:28Z
denoland/deno,2018-05-15T01:34:26Z,{'name': 'Rust'},2025-03-14T15:30:17Z
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,{'name': 'Dockerfile'},2025-03-14T15:30:59Z
rust-lang/rust,2010-06-16T20:39:03Z,{'name': 'Rust'},2025-03-14T17:03:04Z
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,{'name': 'Python'},2025-03-14T16:28:40Z
microsoft/terminal,2017-08-11T18:38:22Z,{'name': 'C++'},2025-03-14T16:41:39Z
angular/angular,2014-09-18T16:12:01Z,{'name': 'TypeScript'},2025-03-14T16:01:34Z
godotengine/godot,2014-01-04T16:05:36Z,{'name': 'C++'},2025-03-14T16:34:41Z
mui/material-ui,2014-08-18T19:11:54Z,{'name': 'TypeScript'},2025-03-14T17:32:20Z
excalidraw/excalidraw,2020-01-02T01:04:43Z,{'name': 'TypeScript'},2025-03-14T17:18:07Z
ant-design/ant-design,2015-04-24T15:37:24Z,{'name': 'TypeScript'},2025-03-14T16:53:07Z
ripienaar/free-for-dev,2015-03-18T21:06:26Z,{'name': 'HTML'},2025-03-14T17:33:29Z
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,{'name': 'JavaScript'},2025-03-14T15:24:52Z
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,{'name': 'Python'},2025-03-14T17:31:11Z
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,{'name': 'Shell'},2025-03-14T15:58:14Z
fatedier/frp,2015-12-21T15:24:59Z,{'name': 'Go'},2025-03-14T17:30:08Z
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,{'name': 'Java'},2025-03-14T13:07:35Z
iptv-org/iptv,2018-11-14T22:00:57Z,{'name': 'JavaScript'},2025-03-14T15:41:28Z
nvbn/thefuck,2015-04-08T15:08:04Z,{'name': 'Python'},2025-03-14T17:22:02Z
tauri-apps/tauri,2019-07-13T09:09:37Z,{'name': 'Rust'},2025-03-14T17:22:57Z
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,,2025-03-14T16:58:44Z
puppeteer/puppeteer,2017-05-09T22:16:13Z,{'name': 'TypeScript'},2025-03-14T15:26:15Z
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,{'name': 'Vue'},2025-03-14T14:54:09Z
pytorch/pytorch,2016-08-13T05:26:41Z,{'name': 'Python'},2025-03-14T17:34:00Z
neovim/neovim,2014-01-31T13:39:22Z,{'name': 'Vim Script'},2025-03-14T17:33:44Z
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,,2025-03-14T15:53:57Z
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,{'name': 'TypeScript'},2025-03-14T16:54:54Z
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,,2025-03-14T16:56:01Z
storybookjs/storybook,2016-03-18T04:23:44Z,{'name': 'TypeScript'},2025-03-14T17:13:01Z
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,{'name': 'JavaScript'},2025-03-14T15:14:12Z
rustdesk/rustdesk,2020-09-28T15:36:08Z,{'name': 'Rust'},2025-03-14T16:46:36Z
open-webui/open-webui,2023-10-06T22:08:27Z,{'name': 'JavaScript'},2025-03-14T17:33:58Z
nvm-sh/nvm,2010-04-15T17:47:47Z,{'name': 'Shell'},2025-03-14T17:14:37Z
shadcn-ui/ui,2023-01-04T12:43:27Z,{'name': 'TypeScript'},2025-03-14T17:28:00Z
django/django,2012-04-28T02:47:18Z,{'name': 'Python'},2025-03-14T17:14:02Z
florinpop17/app-ideas,2019-02-25T18:36:56Z,,2025-03-14T17:31:09Z
bitcoin/bitcoin,2010-12-19T15:16:43Z,{'name': 'C++'},2025-03-14T14:32:05Z
langgenius/dify,2023-04-12T07:40:24Z,{'name': 'TypeScript'},2025-03-14T17:36:16Z
fastapi/fastapi,2018-12-08T08:21:47Z,{'name': 'Python'},2025-03-14T17:12:06Z
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,{'name': 'TypeScript'},2025-03-14T17:24:55Z
sveltejs/svelte,2016-11-20T18:13:05Z,{'name': 'JavaScript'},2025-03-14T16:26:18Z
animate-css/animate.css,2011-10-12T10:07:38Z,{'name': 'CSS'},2025-03-14T14:30:32Z
gothinkster/realworld,2016-02-26T20:49:53Z,{'name': 'TypeScript'},2025-03-14T15:02:00Z
opencv/opencv,2012-07-19T09:40:17Z,{'name': 'C++'},2025-03-14T16:56:05Z
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,{'name': 'JavaScript'},2025-03-14T17:31:17Z
gin-gonic/gin,2014-06-16T23:57:25Z,{'name': 'Go'},2025-03-14T15:32:50Z
laravel/laravel,2011-06-08T03:06:08Z,{'name': 'Blade'},2025-03-14T17:17:06Z
macrozheng/mall,2018-04-04T01:11:44Z,{'name': 'Java'},2025-03-14T16:00:50Z
supabase/supabase,2019-10-12T05:56:49Z,{'name': 'TypeScript'},2025-03-14T17:23:48Z
gohugoio/hugo,2013-07-04T15:26:26Z,{'name': 'Go'},2025-03-14T17:10:22Z
tonsky/FiraCode,2014-11-11T19:32:38Z,{'name': 'Clojure'},2025-03-14T16:54:42Z
openai/whisper,2022-09-16T20:02:54Z,{'name': 'Python'},2025-03-14T17:20:34Z
tensorflow/models,2016-02-05T01:15:20Z,{'name': 'Python'},2025-03-14T14:55:20Z
doocs/advanced-java,2018-10-06T11:38:30Z,{'name': 'Java'},2025-03-14T14:37:54Z
home-assistant/core,2013-09-17T07:29:48Z,{'name': 'Python'},2025-03-14T16:58:09Z
mermaid-js/mermaid,2014-11-01T23:52:32Z,{'name': 'TypeScript'},2025-03-14T16:38:18Z
oven-sh/bun,2021-04-14T00:48:17Z,{'name': 'Zig'},2025-03-14T17:05:52Z
ggml-org/llama.cpp,2023-03-10T18:58:00Z,{'name': 'C++'},2025-03-14T16:55:43Z
2dust/v2rayN,2019-07-30T03:47:24Z,{'name': 'C#'},2025-03-14T17:19:54Z
spring-projects/spring-boot,2012-10-19T15:02:57Z,{'name': 'Java'},2025-03-14T17:12:40Z
3b1b/manim,2015-03-22T18:50:58Z,{'name': 'Python'},2025-03-14T16:50:57Z
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,{'name': 'Java'},2025-03-14T10:52:18Z
