nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,TypeScript,2025-03-14T18:42:34Z,24557
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,Markdown,2025-03-14T18:40:14Z,140
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,HTML,2025-03-14T18:29:14Z,6791
sindresorhus/awesome,2014-07-11T13:42:37Z,,2025-03-14T18:35:50Z,664
public-apis/public-apis,2016-03-20T23:49:42Z,Python,2025-03-14T18:41:55Z,1872
jwasham/coding-interview-university,2016-06-06T02:34:12Z,,2025-03-14T18:21:25Z,415
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,TypeScript,2025-03-14T18:35:23Z,3358
donnemartin/system-design-primer,2017-02-26T16:15:28Z,Python,2025-03-14T18:21:51Z,199
996icu/996.ICU,2019-03-26T07:31:14Z,,2025-03-14T18:21:25Z,1068
vinta/awesome-python,2014-06-27T21:00:06Z,Python,2025-03-14T18:32:01Z,543
facebook/react,2013-05-24T16:15:54Z,JavaScript,2025-03-14T18:27:03Z,11452
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,,2025-03-14T18:42:28Z,182
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,,2025-03-14T18:37:57Z,2393
vuejs/vue,2013-07-29T03:24:51Z,TypeScript,2025-03-14T18:18:37Z,1136
TheAlgorithms/Python,2016-07-16T09:44:01Z,Python,2025-03-14T18:21:26Z,2922
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,JavaScript,2025-03-14T18:35:34Z,302
torvalds/linux,2011-09-04T22:48:12Z,C,2025-03-14T18:36:35Z,10
tensorflow/tensorflow,2015-11-07T01:19:20Z,C++,2025-03-14T18:29:54Z,30087
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,,2025-03-14T18:42:03Z,368
CyC2018/CS-Notes,2018-02-13T14:56:24Z,,2025-03-14T18:21:52Z,374
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,Shell,2025-03-14T18:21:25Z,3292
ossu/computer-science,2014-05-04T00:18:39Z,,2025-03-14T18:29:27Z,285
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,Python,2025-03-14T18:27:48Z,2650
twbs/bootstrap,2011-07-29T21:19:00Z,JavaScript,2025-03-14T18:21:24Z,8848
flutter/flutter,2015-03-06T22:54:58Z,Dart,2025-03-14T18:18:59Z,41276
microsoft/vscode,2015-09-03T20:23:38Z,TypeScript,2025-03-14T18:21:26Z,31934
github/gitignore,2010-11-08T20:17:14Z,,2025-03-14T18:21:24Z,1578
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,Jupyter Notebook,2025-03-14T18:24:30Z,13
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,,2025-03-14T18:41:01Z,122
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,,2025-03-14T18:21:26Z,317
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,Python,2025-03-14T18:35:43Z,1874
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,Java,2025-03-14T18:21:52Z,1150
airbnb/javascript,2012-11-01T23:13:50Z,JavaScript,2025-03-14T18:21:25Z,811
huggingface/transformers,2018-10-29T13:56:00Z,Python,2025-03-14T18:21:25Z,14756
avelino/awesome-go,2014-07-06T13:42:15Z,Go,2025-03-14T18:31:57Z,3404
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,Python,2025-03-14T18:29:09Z,1641
ollama/ollama,2023-06-26T19:39:32Z,Go,2025-03-14T18:40:30Z,2104
vercel/next.js,2016-10-05T23:32:51Z,JavaScript,2025-03-14T18:29:43Z,21243
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,Markdown,2025-03-14T17:52:08Z,238
golang/go,2014-08-19T04:33:40Z,Go,2025-03-14T18:41:38Z,1
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,Batchfile,2025-03-14T18:35:51Z,6
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,JavaScript,2025-03-14T16:44:26Z,821
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,TypeScript,2025-03-14T18:07:03Z,466
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,HTML,2025-03-14T17:56:27Z,159
facebook/react-native,2015-01-09T18:10:16Z,C++,2025-03-14T18:15:30Z,893
Genymobile/scrcpy,2017-11-21T18:00:27Z,C,2025-03-14T18:36:34Z,109
microsoft/PowerToys,2019-05-01T17:44:02Z,C#,2025-03-14T18:39:09Z,5125
electron/electron,2013-04-12T01:47:36Z,C++,2025-03-14T18:27:54Z,21761
kubernetes/kubernetes,2014-06-06T22:56:04Z,Go,2025-03-14T18:28:42Z,60993
