nameWithOwner,createdAt,primaryLanguage,updatedAt
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,{'name': 'TypeScript'},2025-02-23T22:00:07Z
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,{'name': 'HTML'},2025-02-23T23:04:53Z
sindresorhus/awesome,2014-07-11T13:42:37Z,,2025-02-23T23:11:39Z
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,{'name': 'Markdown'},2025-02-23T23:12:47Z
public-apis/public-apis,2016-03-20T23:49:42Z,{'name': 'Python'},2025-02-23T22:37:49Z
jwasham/coding-interview-university,2016-06-06T02:34:12Z,,2025-02-23T23:03:32Z
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,{'name': 'TypeScript'},2025-02-23T23:02:28Z
donnemartin/system-design-primer,2017-02-26T16:15:28Z,{'name': 'Python'},2025-02-23T23:03:44Z
996icu/996.ICU,2019-03-26T07:31:14Z,,2025-02-23T16:43:31Z
vinta/awesome-python,2014-06-27T21:00:06Z,{'name': 'Python'},2025-02-23T22:58:51Z
facebook/react,2013-05-24T16:15:54Z,{'name': 'JavaScript'},2025-02-23T23:13:21Z
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,,2025-02-23T22:58:10Z
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,,2025-02-23T22:58:51Z
vuejs/vue,2013-07-29T03:24:51Z,{'name': 'TypeScript'},2025-02-23T21:00:54Z
TheAlgorithms/Python,2016-07-16T09:44:01Z,{'name': 'Python'},2025-02-23T23:07:28Z
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,{'name': 'JavaScript'},2025-02-23T22:12:26Z
torvalds/linux,2011-09-04T22:48:12Z,{'name': 'C'},2025-02-23T23:04:29Z
tensorflow/tensorflow,2015-11-07T01:19:20Z,{'name': 'C++'},2025-02-23T21:24:04Z
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,,2025-02-23T21:50:58Z
CyC2018/CS-Notes,2018-02-13T14:56:24Z,,2025-02-23T19:10:48Z
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,{'name': 'Shell'},2025-02-23T22:36:35Z
ossu/computer-science,2014-05-04T00:18:39Z,,2025-02-23T22:44:33Z
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,{'name': 'Python'},2025-02-23T23:07:30Z
twbs/bootstrap,2011-07-29T21:19:00Z,{'name': 'JavaScript'},2025-02-23T22:19:23Z
flutter/flutter,2015-03-06T22:54:58Z,{'name': 'Dart'},2025-02-23T22:28:38Z
microsoft/vscode,2015-09-03T20:23:38Z,{'name': 'TypeScript'},2025-02-23T23:04:24Z
github/gitignore,2010-11-08T20:17:14Z,,2025-02-23T20:45:00Z
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,{'name': 'Jupyter Notebook'},2025-02-23T22:56:07Z
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,,2025-02-23T22:58:55Z
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,,2025-02-23T22:38:46Z
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,{'name': 'Python'},2025-02-23T21:39:34Z
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,{'name': 'Java'},2025-02-23T17:35:42Z
airbnb/javascript,2012-11-01T23:13:50Z,{'name': 'JavaScript'},2025-02-23T19:07:30Z
huggingface/transformers,2018-10-29T13:56:00Z,{'name': 'Python'},2025-02-23T22:44:07Z
avelino/awesome-go,2014-07-06T13:42:15Z,{'name': 'Go'},2025-02-23T23:01:53Z
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,{'name': 'Python'},2025-02-23T23:10:47Z
vercel/next.js,2016-10-05T23:32:51Z,{'name': 'JavaScript'},2025-02-23T21:52:33Z
ollama/ollama,2023-06-26T19:39:32Z,{'name': 'Go'},2025-02-23T23:05:27Z
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,{'name': 'Markdown'},2025-02-23T20:50:08Z
golang/go,2014-08-19T04:33:40Z,{'name': 'Go'},2025-02-23T23:01:13Z
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,{'name': 'JavaScript'},2025-02-23T22:30:12Z
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,{'name': 'TypeScript'},2025-02-23T22:35:17Z
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,{'name': 'Batchfile'},2025-02-23T23:02:09Z
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,{'name': 'HTML'},2025-02-23T22:16:43Z
facebook/react-native,2015-01-09T18:10:16Z,{'name': 'C++'},2025-02-23T20:57:47Z
Genymobile/scrcpy,2017-11-21T18:00:27Z,{'name': 'C'},2025-02-23T23:06:58Z
electron/electron,2013-04-12T01:47:36Z,{'name': 'C++'},2025-02-23T22:19:05Z
microsoft/PowerToys,2019-05-01T17:44:02Z,{'name': 'C#'},2025-02-23T22:28:04Z
kubernetes/kubernetes,2014-06-06T22:56:04Z,{'name': 'Go'},2025-02-23T22:42:44Z
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,,2025-02-23T17:49:20Z
d3/d3,2010-09-27T17:22:42Z,{'name': 'Shell'},2025-02-23T22:17:03Z
nodejs/node,2014-11-26T19:57:11Z,{'name': 'JavaScript'},2025-02-23T23:04:08Z
krahets/hello-algo,2022-11-04T11:08:34Z,{'name': 'Java'},2025-02-23T21:08:43Z
axios/axios,2014-08-18T22:30:27Z,{'name': 'JavaScript'},2025-02-23T21:13:26Z
mrdoob/three.js,2010-03-23T18:58:01Z,{'name': 'JavaScript'},2025-02-23T22:10:29Z
facebook/create-react-app,2016-07-17T14:55:11Z,{'name': 'JavaScript'},2025-02-23T21:13:28Z
microsoft/TypeScript,2014-06-17T15:28:39Z,{'name': 'TypeScript'},2025-02-23T22:17:31Z
denoland/deno,2018-05-15T01:34:26Z,{'name': 'Rust'},2025-02-23T22:03:59Z
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,{'name': 'Dockerfile'},2025-02-23T22:33:15Z
rust-lang/rust,2010-06-16T20:39:03Z,{'name': 'Rust'},2025-02-23T23:09:31Z
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,{'name': 'Python'},2025-02-23T23:06:50Z
langchain-ai/langchain,2022-10-17T02:58:36Z,{'name': 'Jupyter Notebook'},2025-02-23T22:06:30Z
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,{'name': 'Python'},2025-02-23T23:00:02Z
microsoft/terminal,2017-08-11T18:38:22Z,{'name': 'C++'},2025-02-23T21:36:25Z
